DiM,진화 전,진화 후,세대,속성,바이탈,PP/트로피,배틀수,승률,진화시간
감마몬🚧,구리몬,감마몬,성장기,바이러스,,,-,-,1시간
감마몬🚧,감마몬,그루스감마몬,성숙기,바이러스,0,0,-,-,24시간
감마몬🚧,감마몬,베텔감마몬,성숙기,백신,1100,10,-,-,24시간
감마몬🚧,감마몬,웨즌감마몬,성숙기,데이터,600,5,-,-,24시간
감마몬🚧,감마몬,카우스감마몬,성숙기,데이터,900,8,-,-,24시간
감마몬🚧,카우스감마몬,길리두몬,완전체,데이터,2500,10,-,-,36시간
감마몬🚧,웨즌감마몬,길리두몬,완전체,데이터,2500,10,-,-,36시간
감마몬🚧,그루스감마몬,레굴루스몬,완전체,바이러스,3500,15,-,-,36시간
감마몬🚧,베텔감마몬,보머몬,완전체,바이러스,,,-,-,36시간
감마몬🚧,웨즌감마몬,보머몬,완전체,바이러스,,,-,-,36시간
감마몬🚧,웨즌감마몬,잔메츠몬,완전체,바이러스,3000,12,-,-,36시간
감마몬🚧,그루스감마몬,잔메츠몬,완전체,바이러스,3000,12,-,-,36시간
감마몬🚧,베텔감마몬,카노바이스몬,완전체,백신,3000,12,-,-,36시간
감마몬🚧,카우스감마몬,카노바이스몬,완전체,백신,3000,12,-,-,36시간
감마몬🚧,베텔감마몬,후우마몬,완전체,데이터,1500,6,-,-,36시간
감마몬🚧,카우스감마몬,후우마몬,완전체,데이터,1500,6,-,-,36시간
감마몬🚧,잔메츠몬,스피노몬,궁극체,바이러스,4500,15,-,-,불명
감마몬🚧,보머몬,스피노몬,궁극체,바이러스,4500,15,-,-,불명
감마몬🚧,길리두몬,시리우스몬,궁극체,백신,5000,20,-,-,48시간
감마몬🚧,카노바이스몬,시리우스몬,궁극체,백신,5000,20,-,-,48시간
감마몬🚧,레굴루스몬,아크투루스몬,궁극체,바이러스,7000,20,-,-,48시간
감마몬🚧,잔메츠몬,아크투루스몬,궁극체,바이러스,7000,20,-,-,48시간
감마몬🚧,후우마몬,이지스드라몬,궁극체,백신,4500,10,-,-,48시간
감마몬🚧,길리두몬,이지스드라몬,궁극체,백신,4500,10,-,-,48시간
감마몬🚧,시리우스몬,프록시마몬,초궁극체,바이러스,8000,30,-,-,-
감마몬🚧,아크투루스몬,프록시마몬,초궁극체,바이러스,8000,30,-,-,-
감마몬🚧,쿠리몬,구리몬,유년기 II,백신,,,-,-,1시간
감마몬🚧,쿠리몬알,쿠리몬,유년기 I,백신,,,-,-,1시간
길몬 EX,기기몬,길몬,성장기,바이러스,,,-,-,1시간
길몬 EX,길몬,그라우몬,성숙기,바이러스,1300,10,-,-,24시간
길몬 EX,길몬,그라우몬(황),성숙기,데이터,900,8,-,-,24시간
길몬 EX,길몬,데블드라몬,성숙기,바이러스,0,0,-,-,24시간
길몬 EX,길몬,시사몬,성숙기,백신,600,85,-,-,24시간
길몬 EX,시사몬,마지라몬,완전체,데이터,2500,10,-,-,36시간
길몬 EX,데블드라몬,마지라몬,완전체,데이터,2500,10,-,-,36시간
길몬 EX,그라우몬(황),메가로그라우몬,완전체,바이러스,3000,12,-,-,36시간
길몬 EX,그라우몬,메가로그라우몬,완전체,바이러스,3000,12,-,-,36시간
길몬 EX,그라우몬(황),메가로그라우몬(황),완전체,데이터,2500,10,-,-,36시간
길몬 EX,그라우몬,메가로그라우몬(황),완전체,데이터,2500,10,-,-,36시간
길몬 EX,시사몬,미히라몬,완전체,데이터,2500,10,-,-,36시간
길몬 EX,그라우몬(황),미히라몬,완전체,데이터,2500,10,-,-,36시간
길몬 EX,시사몬,바지라몬,완전체,백신,3000,12,-,-,36시간
길몬 EX,데블드라몬,바지라몬,완전체,백신,3000,12,-,-,36시간
길몬 EX,데블드라몬,산티라몬,완전체,바이러스,2000,8,-,-,36시간
길몬 EX,그라우몬,산티라몬,완전체,바이러스,2000,8,-,-,36시간
길몬 EX,바지라몬,듀크몬,궁극체,바이러스,5000,20,-,-,48시간
길몬 EX,메가로그라우몬(황),듀크몬,궁극체,바이러스,5000,20,-,-,48시간
길몬 EX,미히라몬,듀크몬,궁극체,바이러스,5000,20,-,-,48시간
길몬 EX,메가로그라우몬,듀크몬,궁극체,바이러스,5000,20,-,-,48시간
길몬 EX,마지라몬,메기드라몬,궁극체,바이러스,7000,20,-,-,48시간
길몬 EX,산티라몬,메기드라몬,궁극체,바이러스,7000,20,-,-,48시간
길몬 EX,바지라몬,메디벌듀크몬,궁극체,데이터,4500,15,-,-,48시간
길몬 EX,메가로그라우몬(황),메디벌듀크몬,궁극체,데이터,4500,15,-,-,48시간
길몬 EX,마지라몬,메디벌듀크몬,궁극체,데이터,4500,15,-,-,48시간
길몬 EX,미히라몬,카오스듀크몬,궁극체,바이러스,4500,15,-,-,48시간
길몬 EX,메가로그라우몬,카오스듀크몬,궁극체,바이러스,4500,15,-,-,48시간
길몬 EX,산티라몬,카오스듀크몬,궁극체,바이러스,4500,15,-,-,48시간
길몬 EX,듀크몬,듀크몬(X항체),초궁극체,바이러스,8000,30,-,-,-
길몬 EX,듀크몬,듀크몬: 크림슨 모드,초궁극체,바이러스,8000,30,-,-,-
길몬 EX,쟈리몬,기기몬,유년기 II,백신,,,-,-,1시간
길몬 EX,쟈리몬 알,쟈리몬,유년기 I,백신,,,-,-,1시간
다이너스티 오브 디 이블(임프몬)🚧,야몬,임프몬,성장기,바이러스,,,-,-,1시간
