"DiM","현재 디지몬","현재 세대","속성","진화 대상","목표 세대","진화 시간","필요 바이탈","필요 PP","배틀 횟수","필요 승률(%)","던전 ★★★","조그레스","필요 아이템/캡슐","비고"
"아구몬 EX","깜몬 알","디지타마","FREE","깜몬","유년기 I","1시간","","","","","-","-","-",""
"아구몬 EX","깜몬","유년기 I","-","코로몬","유년기 II","1시간","","","","","-","-","-",""
"아구몬 EX","코로몬","유년기 II","-","아구몬","성장기","1시간","","","","","-","-","-",""
"아구몬 EX","아구몬","성장기","VACCINE","그레이몬","성숙기","24시간","1200","5","","","-","-","-",""
"아구몬 EX","아구몬","성장기","VACCINE","실러컨몬","성숙기","24시간","","","","","-","-","-",""
"아구몬 EX","아구몬","성장기","VACCINE","아르고몬","성숙기","24시간","800","5","18","","-","-","-",""
"아구몬 EX","그레이몬","성숙기","VACCINE","메탈그레이몬","완전체","36시간","1200","5","","","-","","-",""
"아구몬 EX","메탈그레이몬","완전체","VACCINE","블리츠그레이몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"아구몬 EX","아구몬","성장기","VACCINE","우가몬","성숙기","24시간","500","3","","","-","-","-",""
"아구몬 EX","그레이몬","성숙기","VACCINE","스콜피오몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"아구몬 EX","그레이몬","성숙기","VACCINE","메탈티라노몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"아구몬 EX","실러컨몬","성숙기","DATA","스콜피오몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"아구몬 EX","실러컨몬","성숙기","DATA","안드로몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"아구몬 EX","실러컨몬","성숙기","DATA","네오데블몬","완전체","36시간","2000","6","80","50%","-","","-",""
"아구몬 EX","아르고몬","성숙기","VIRUS","메탈그레이몬","완전체","36시간","1200","5","","","-","","-",""
"아구몬 EX","아르고몬","성숙기","VIRUS","메탈티라노몬","완전체","36시간","2500","10","80","50%","-","-","-",""
"아구몬 EX","아르고몬","성숙기","VIRUS","콩알몬","완전체","36시간","2500","10","80","50%","-","","-",""
"아구몬 EX","우가몬","성숙기","VACCINE","콩알몬","완전체","36시간","2500","10","80","50%","-","","-",""
"아구몬 EX","우가몬","성숙기","VACCINE","네오데블몬","완전체","36시간","2000","6","80","50%","-","","-",""
"아구몬 EX","우가몬","성숙기","VACCINE","안드로몬","완전체","36시간","3000","12","120","70%","-","-","-",""
"아구몬 EX","콩알몬","완전체","DATA","단데블몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"아구몬 EX","콩알몬","완전체","DATA","블리츠그레이몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"아구몬 EX","네오데블몬","완전체","VIRUS","단데블몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"아구몬 EX","네오데블몬","완전체","VIRUS","블리츠그레이몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"아구몬 EX","스콜피오몬","완전체","DATA","블리츠그레이몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"아구몬 EX","블리츠그레이몬","궁극체","VIRUS","오메가몬 alter-S","초궁극체","-","8000","30","320","70%","-","블리츠그레이몬,크레스가루몬","-",""
"아구몬 EX","안드로몬","완전체","VACCINE","단데블몬","궁극체","48시간","7000","20","200","70%","던전 ★★★","-","-",""
"아구몬 EX","메탈티라노몬","완전체","VIRUS","블리츠그레이몬","궁극체","48시간","4500","15","120","70%","-","-","-",""
"파피몬 EX","메탈가루몬","궁극체","DATA","오메가몬","초궁극체","-","8000","30","320","70%","-","워그레이몬,메탈가루몬","",""
